Time[s]	 Velocity[m/s]	
0.0      0.0
0.0958   0.5748
0.1916   1.12364
0.2874   1.64737
0.3832   2.14684
0.4790   2.62287
0.5748   3.07628
0.6706   3.50786
0.7664   3.91839
0.8622   4.30863
0.9580   4.67935
1.0538   5.03127
1.1496   5.36512
1.2454   5.68161
1.3412   5.98142
1.4370   6.26523
1.5328   6.53371
1.6286   6.78749
1.7244   7.02722
1.8202   7.2535
1.9160   7.46694
2.0118   7.66813
2.1076   7.85763
2.2034   8.036
2.2992   8.20379
2.3950   8.36152
2.4908   8.50969
2.5866   8.64882
2.6824   8.77937
2.7782   8.90182
2.8740   9.01661
2.9698   9.12419
3.0656   9.22497
3.1614   9.31936
3.2572   9.40775
3.3530   9.49052
3.4488   9.56802
3.5446   9.64061
3.6404   9.70861
3.7362   9.77235
3.8320   9.83212
3.9278   9.8882
4.0236   9.94088
4.1194   9.9904
4.2152   10.03701
4.3110   10.08093
4.4068   10.12238
4.5026   10.16154
4.5984   10.19861
4.6942   10.23374
4.7900   10.26709
4.8858   10.2988
4.9816   10.32898
5.0774   10.35774
5.1732   10.38518
5.2690   10.41136
5.3648   10.43635
5.4606   10.4602
5.5564   10.48293
5.6522   10.50456
5.7480   10.5251
5.8438   10.54453
5.9396   10.56281
6.0354   10.57991
6.1312   10.59577
6.2270   10.61031
6.3228   10.62344
6.4186   10.63506
6.5144   10.64505
6.6102   10.65328
6.7060   10.65959
6.8018   10.66383
6.8976   10.66581
6.9934   10.66533
7.0892   10.6622
7.1850   10.65618
7.2808   10.64704
7.3766   10.63452
7.4724   10.61836
7.5682   10.59826
7.6640   10.57393
7.7598   10.54505
7.8556   10.51131
7.9514   10.47234
8.0472   10.42779
8.1430   10.3773
8.2388   10.32046
8.3346   10.25687
8.4304   10.18612
8.5262   10.10777
8.6220   10.02138
8.7178   9.92646
8.8136   9.82256
8.9094   9.70917
9.0052   9.58578
9.1010   9.45187
9.1968   9.3069
9.2926   9.15031
9.3884   8.98154
